PDB,Resolução,Ano,kd (µM),ki (µM),DG (kcal/mol),LigName,Carga sys.,Carga Lig.,IEDA
3bra,2.3,2008,2000,,-3.680209312,AEF,,1,0.0
4ha5,1.83,2012,0.058,0.058,-9.86750488,13W,,1,0.0
4h3g,1.85,2012,0.006,0.006,-11.21098948,10Q,,1,0.0
R2 RSQ,,,,,,,,,0.0
R,,,,,,,,,0.0

